keyword,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
earbud,1,1,5MGTUNQDXX2E,Headphones,Stereo Earphones Stereo Earphones,Generic,3.4,,"<p>These generic stereo earphones help ensure you hear music and audio the way it was intended to be heard. Even though these are compact with an earbud-style design, they offer premium quality sound. These stereo headphones can be plugged into compatible devices with the standard 1/8"" mini-jack connector. They can be used with cell phones, portable music devices, computers, laptops, and more. The earbud-style design makes them ideal for listening to music or audio while you're working out, walking, traveling, studyingjust everyday basic uses. The wired earphones fit comfortably within your ear and are made to rest securely. They can easily be wrapped around the device you're using and stored in a pocket or bag when not in use. Stereo earphones have a sleek design making them comfortable to wear and also hip and stylish. They're available in a standard black color.</p>",https://i5.walmartimages.com/seo/Stereo-Earphones_2c2bb862-baf2-43ef-963d-d5b7bd75f9e4.8c18b0bb410caa700b65722945ba4da4.jpeg,1,USD
earbud,4,41,1DPR6AYQYQUD,Headphones,"Skullcandy Indy XT ANC True Wireless Inner Ear Earbuds, True Black",Skullcandy,4.1,,"Indy XT ANC™ is the true wireless earbud that cuts through the clutter with Active Noise Canceling. What’s more, you can tune Indy XT ANC to your unique hearing through a quick audio test in the Skullcandy App. The technology automatically adjusts audio levels so you’ll hear your music like you’ve never heard it before. If you need to pop back to reality, Ambient Mode lets you instantly listen to your surroundings, so you don’t lose touch with what’s going on around you. And don’t worry about losing your earbuds. Indy XT ANC features built-in Tile® finding technology. Rapid Charge provides 3 hours of listening in just 10 minutes of charge time and 19 hours on a full charge. Indy XT ANC is also adventure-ready with an IPX4 water- and dust-resistant rating.",https://i5.walmartimages.com/seo/Skullcandy-Indy-XT-ANC-Active-Noise-Canceling-True-Wireless-Earbuds-True-Black_8876713a-4c5e-4820-affc-602de1d6780f.ab42eab843fcb21a0217bc317282357c.jpeg,59.99,USD
earbud,3,41,1C82XDF08MSG,Headphones,"JLab Go Tones+ True Wireless Earbuds, Bluetooth, 35+ Hr Playtime, Customize Controls & EQ , 4625 W",JLab,,,"YOUR TUNES. YOUR TONE.
True wireless to complement you.

In the world of headphones, brands are pushing to stand out – bright colors, big logos - but JLab wanted to forge a new path and create a product line follows a more nuanced approach to earbud aesthetics by showcasing the beauty found in tones of the world. Featuring a series of neutral colors, JLab GO Air Tones are the first earbud collection designed to complement a person rather than draw attention.

Pocket-sized yet powerful, GO Air Tones offer over 35 hours of total playtime ensuring you can enjoy your music wherever you go.",https://i5.walmartimages.com/seo/Jlab-Go-Air-Tones-True-Wireless-Earbuds-Bluetooth-35-Hour-Playtime-4625-W_530be76f-9c93-422c-8e4d-e6fada5a87ca.b2e76d4f9d5e4ec462eb54e942580b3e.jpeg,24.88,USD
earbud,3,40,1M49MFOM9JFW,Headphones,"Raycon The Everyday Bluetooth Earbuds, True Wireless with Charging Case and Microphone, Noise Canceling (Royal Blue), RBE726-23E-BLU",Raycon,5,,"The Everyday Earbuds from Raycon feature Active Noise Cancellation when you want to block out the noise and an Awareness Mode when you want to be aware of your surroundings. Every day is different, making our busy lives unpredictable. Awareness Mode lets you stay alert to what’s happening around you, keeping you and those around you safe. Plus, these earbuds are comfortable. Based on international ear scans, fit studies, and anthropometric data, we tested bud shape, gel tip thickness, and combined various tactile coatings. The result? An earbud that comfortably fits the widest range of ears. Larger than a peanut. Smaller than your wallet. We designed a product small enough to be readily available and easily portable so you can enjoy tunes wherever you need to go!",https://i5.walmartimages.com/seo/Raycon-The-Everyday-Bluetooth-Earbuds-True-Wireless-with-Charging-Case-and-Microphone-Noise-Canceling-Royal-Blue-RBE726-23E-BLU_4724be4d-65df-462c-9c24-f8edd304b758.f89fb66ac99f8a23b3398ad145200842.jpeg,79.99,USD
earbud,3,39,52BHGGEN0GQX,Headphones,"CMYBabee Wireless Earbuds, Bluetooth Headphones with Noise Cancelling and LED Power Display - IPX7 Waterproof, Built-in Mic, Compatible with Iphone & Android, Charging Case, Black",7MAGIC,4.6,,"The CMYBabee bluetooth headphones are engineered for top-notch sound quality and convenience, featuring wireless earbuds with a sleek, transparent charging case that includes a dual digital LED display showing battery levels for both the case and the earbuds. Each earbud offers up to 4 hours of playback time, and the 500mAh charging case can recharge them up to 8 times for a total of 50 hours of music enjoyment. Designed with ergonomics in mind and based on extensive research into ear canal shapes, wireless headphones come in three sizes to suit most users and are exceptionally lightweight for effortless portability. They pair with your device automatically with a simple one-step process when you open the case, and intuitive touch controls on the wireless earphones allow you to manage music, adjust volume, handle calls, and activate voice assistance directly. Equipped with 6mm speakers and triple-layer composite diaphragms, the CMYBabee bluetooth earbuds produce robust bass, crisp highs, and clear mids to satisfy any audiophile. Each earbud also features a built-in microphone with CVC noise reduction technology, ensuring clear communication during calls and enhancing your audio experience whether you're working out, commuting, or just chilling out. Join CMYBabee now and kickstart your ultimate auditory journey!<br><br>
►<u><b>Features:</b></u><br><br>
● Noise Cancelling<br>
● Built-in microphone<br>
● IPX7 waterproof<br>
● Bluetooth5.1<br>
● Automatic pairing<br>
● Touch Control: play/pause, hang up answer, call Siri, adjust volume, switch up and down<br><br>
►<u>Product Packaging: 2 * Wireless Earbuds for Iphone &amp; Android / 3 Pairs of Eartips (one pair pre-installed) / 1 * Charging Case / 1 * USB-C Charging Cable / 1 * User Manual</u>",https://i5.walmartimages.com/seo/Bluetooth-Headphones-Wireless-Charging-Case-Bluetooth5-1-True-Earbuds-IPX7-Waterproof-Stereo-Earphones-in-Ear-Mic-True-Noise-Cancelling-Earbuds-iPhon_7054742e-99e5-4c02-99be-e93e9f9daa21.0a5790d5847a288c7439a49480ed0cbf.jpeg,10,USD
earbud,3,38,5LH4LHGRZOCG,Headphones,"Skullcandy Rail XT True Wireless Inner Ear Earbuds with Skull-iQ, True Black",Skullcandy,4.2,,"Skullcandy's Rail XT True Wireless earbud headphone are the latest and greatest true wireless. With 34 hours of battery life, Rail XT offers feature-driven, style obsessed audiophiles premium acoustics, a sleek ergonomic design, and a slew of marquee features, all powered by an innovative technology that enables even more features to be added to these in-ear headphone as they become available. A vast majority of us are looking for the latest features when we consider our electronics such as Activate Assistant, Multipoint pairing, Tile™ Finding Technology and an IP55 Sweat, Water and Dust Resistance rating. Rail XT delivers a future-proofed, beautifully designed, at an extremely compelling value along with offering seamless hands-free voice control for consumers to easily access various features, media, and voice assistants using voice commands in multiple language options.",https://i5.walmartimages.com/seo/Skullcandy-Rail-XT-True-Wireless-Bluetooth-in-Ear-Headphones-with-Skull-iQ-True-Black_c064f015-43b8-4dc5-b843-f58141a27034.4464237b9e28fc38381d9e0810993d9a.jpeg,56.99,USD
earbud,3,37,14QH4VRD7Y2O,Headphones,Shure SE215 Sound Isolating Headphones Earphones In-Ear Stereo Headphones Black,Shure,4.6,,"Wherever you go, from the gym to the bus stop to the airport and beyond, take high quality music along for the ride with Shure Sound Isolating Dynamic MicroDriver Earphones.

These sound isolating in ear headphones not only block up to 37 dB of ambient noise to ensure you can fully enjoy your tunes, they are also lightweight and low profile for a comfortable all day fit. The ear bud nozzles rest comfortably in your ears and the sound isolating sleeves come in 3 sizes for the best fit for you. Additionally, the over the ear configuration keeps these headphones' durable, reinforced cords from getting in the way while you listen. The cords themselves are also detachable at the base.

Take your headphone game to the next level with Shure Sound Isolating Dynamic MicroDriver Earphones.",https://i5.walmartimages.com/seo/Shure-SE215-Sound-Isolating-Headphones-Earphones-In-Ear-Stereo-Headphones-Black_429b704a-bcfc-4119-8fd7-59b6b1025131.356f2bde7fc60d3b36e16f5523e65373.jpeg,79.99,USD
earbud,3,36,5708524T35RM,Headphones,"3.5mm wired earbuds,heavy bass in-ear wire headphones with microphone,high-fidelity stereo 3.5mm earphones noise isolation,3.5mm jack earbud",jechan,4.2,,"high-fidelity heavy bass sound,3.5mm wired earbuds can be used in different music scenes such as rock, pop, DJ, record, concert, panoramic view, and vocals.
              wired headphones can control the phone volume through the headphones cable, and you can talk without taking out the phone. The built-in high-definition microphone is suitable for home voice and work meetings.
              Universal 3.5mm jack , wired earbuds are almost universal to all mobile phones and computer devices with 3.5mm round holes, and compatible with ios and usb-c audio conversion cables.
             There are  three sizes (S/M/L) silicone earbuds, which are more suitable for human ears, bring comfort to the ears and isolate noise. The 1.2-meter-long high-quality material cable can be easily rolled up in daily life.",https://i5.walmartimages.com/seo/3-5mm-wired-earbuds-heavy-bass-in-ear-wire-headphones-with-microphone-high-fidelity-stereo-3-5mm-earphones-noise-isolation-3-5mm-jack-earbud_252a5f53-f5b8-4e61-9e65-8a1024b527d9.e01901a833cd06231271566423064382.jpeg,14.49,USD
earbud,3,35,2LVBAK6BI4R9,Headphones,"KZ EDX Pro in-Ear Stage Monitor Headphone, Dual Magnetic Dynamic Unit Earphone, Shock Bass Earbuds with 0.75mm Detachable Cable Comfortable Wired Headset (No Mic)",KZ,,,"As a re-optimization product, EDX Pro s fully upgraded in configuration, interface, cable and appearance, which highly restores on-the-  and gives you shock bass quality.<br>
<br>
<br>
<strong>Features:<br>
[Upgrade Configuration] </strong>Adopting a special dual magnetic circuit dynamic unit with 10mm size, EDX Pro brings more natural low and high frequency performance and rich music details.<br>
<strong>[Comfortable Wear] </strong>Ergonomic cavity structure fits the auricle and PU ear hooks reduce stress, which allows you to wear for a long time without pressure.<br>
<strong>[Upgrade Interface] </strong>With 0.75mm standard gold-plated pin, EDX Pro can be upgraded to become BT earbuds by replacing the cable, simple and fast.<br>
<strong>[Upgrade Cable] </strong>New oxygen-free cooper flat cable, ensures smooth transmission of sound signals and effectively prevents entanglement, more durable and flexible to use.<br>
<strong>[Upgrade Appearance]</strong> With rare high-end inlay technology, the combination of resin cavity and metal ornaments shows extraordinary texture for a stylish and elegant appearance.&nbsp;<br>
<br>
<br>
<strong>Specifications:</strong><br>
Brand: KZ&nbsp;<br>
Model: EDX Pro<br>
Material: Metal + Resin<br>
Color: White / Black / Cyan <strong>(Optional)</strong><br>
Wire Control: No Mic/ With Mic <strong>(Optional)</strong><br>
Wear Type: Ear Hook&nbsp;<br>
Sensitivity: 112dB<br>
Frequency : 10Hz-20KHz<br>
Plug Type: 3.5mm<br>
Pin Type: 0.75mm<br>
Cable: Oxygen-free Copper Flat Cable<br>
Cable Length: 125±5cm<br>
Package Size: 10 * 7 * 3cm / 3.94 * 2.76 * 1.18in<br>
Package Weight: 70g / 2.47oz<br>
<br>
<br>
<strong>Note:</strong><br>
Please read the user manual carefully before using this product.<br>
<br>
<br>
<strong>Package List:</strong><br>
1 * Earphones with Wire<br>
4 * Earplug Silicone Caps<br>
1 * User Manual",https://i5.walmartimages.com/seo/KZ-EDX-Pro-in-Ear-Stage-Monitor-Headphone-Dual-Magnetic-Dynamic-Unit-Earphone-Shock-Bass-Earbuds-0-75mm-Detachable-Cable-Comfortable-Wired-Headset-No_3192e9d6-9407-4bb5-a678-be86bd120a43.97b033a34949b80e30ad1950a2c94a11.jpeg,10.99,USD
earbud,3,34,3TK0J2XAE3N8,Headphones,Bluetooth Earbuds Wireless Headphones Waterproof Earbud Noise-cancelling Sport Earphones with LED Display Charger Case Over-Ear Buds with Earhooks Built-in Mic Headset for Workout,rocoye,4.3,,"TWS Running Earbuds/Bluetooth 5.3 Headphones/Working &amp; Business &amp; Fitness/Earbuds/Deep Bass Sound/HD Clear Call/in-ear Headset/One-key control earphones/Mini headset/Dual LED Battery Display for woman and man/IPX7 Water-Resistant &amp; Type C Quick Charge Earphones<br>
<p><b><br></b></p>
<p><b>What's included:</b></p>
<p><b>2 earbuds&nbsp;</b></p>
<p><b>1 charger case&nbsp;</b></p>
<p><b>1 charger cable</b></p>",https://i5.walmartimages.com/seo/Bluetooth-Earbuds-Wireless-Headphones-Waterproof-Earbud-Noise-cancelling-Sport-Earphones-LED-Display-Charger-Case-Over-Ear-Buds-Earhooks-Built-in-Mic_5f2989ba-66fb-4f47-bfe4-2eb2b6c9de8e.23f75915d2e230c3194860bba4f0b4a0.jpeg,17.99,USD
